GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0005575	cellular_component	AAEL006722 AAEL007117 AAEL001777 AAEL006970 AAEL004833 AAEL007711 AAEL007722 AAEL003715 AAEL009540 AAEL009543 AAEL006563 AAEL012652 AAEL002972 AAEL000686 AAEL001072 AAEL006974 AAEL018349 AAEL001057 AAEL006328 AAEL011008 AAEL001081 AAEL004903 AAEL012642 AAEL013979 AAEL000973 AAEL011121 AAEL010235 AAEL015472 AAEL001876 AAEL002603 AAEL011897 AAEL011278 AAEL017067 AAEL007070 AAEL015606 AAEL001514 AAEL017211 AAEL015049 AAEL006980 AAEL006982 AAEL000268 AAEL011229 AAEL007044 AAEL013059 AAEL007611 AAEL009577 AAEL012136 AAEL007616 AAEL007615 AAEL005748 AAEL013525 AAEL002780 AAEL014409 AAEL001042 AAEL003496 AAEL006961 AAEL008430 AAEL006336 AAEL002974 AAEL003419 AAEL002149 AAEL001754 AAEL005622 AAEL014069 AAEL001878 AAEL011528 AAEL000901 AAEL011337 AAEL002466 AAEL013117 AAEL011334 AAEL003561 AAEL017266 AAEL011331 AAEL004223 AAEL003425 AAEL012641 AAEL012646 AAEL003421 AAEL012644 AAEL012645 AAEL010064 AAEL002400 AAEL012648 AAEL012649 AAEL009567 AAEL012653 AAEL011586 AAEL001219 AAEL012245 AAEL005530 AAEL009167 AAEL006719 AAEL003092 AAEL012060 AAEL012654 AAEL007055 AAEL006347 AAEL007051 AAEL007052 AAEL007115 AAEL007116 AAEL018016 AAEL007112 AAEL002492 AAEL003284 AAEL002490 AAEL015639 AAEL003224 AAEL002495 AAEL010609 AAEL013413 AAEL003024 AAEL000960 AAEL001076 AAEL012651 AAEL012467 AAEL003048 AAEL000611 AAEL006966 AAEL003120 AAEL014823 AAEL010172 AAEL000598 AAEL012542 AAEL012013 AAEL015552 AAEL004386 AAEL009192 AAEL002467 AAEL011336 AAEL014551 AAEL009266 AAEL001021 AAEL007060 AAEL007063 AAEL000599 AAEL012311 AAEL001028 AAEL009746 AAEL007068 AAEL015254 AAEL011333 AAEL013812 AAEL008062 AAEL005815 AAEL002481 AAEL010615 AAEL002482 AAEL012728 AAEL015093 AAEL017334 AAEL013222 AAEL002554 AAEL012268 AAEL013367 AAEL002630 AAEL002631 AAEL003832 AAEL012643 AAEL014553 AAEL005252 AAEL006686 AAEL015252 AAEL015253 AAEL017973 AAEL012647 AAEL009585 AAEL006201 AAEL009580 AAEL000937 AAEL012971 AAEL001837 AAEL000585 AAEL012790 AAEL000932 AAEL008513 AAEL006027 AAEL008487 AAEL002138 AAEL008488 AAEL011996 AAEL002588 AAEL002589 AAEL002623 AAEL014687 AAEL002625 AAEL002627 AAEL009537 AAEL001553 AAEL003066 AAEL005546 AAEL009226 AAEL010714 AAEL004547 AAEL004082 AAEL004897 AAEL006623 AAEL008479 AAEL009528 AAEL013766 AAEL008473 AAEL005702 AAEL008805 AAEL007483 AAEL011335 AAEL012966 AAEL017291 AAEL005917 AAEL002733 AAEL007455 AAEL004157 AAEL000828 AAEL015483 AAEL009527 AAEL011949 AAEL002611 AAEL000144 AAEL002613 AAEL007385 AAEL010705 AAEL002619 AAEL010707 AAEL006701 AAEL014759 AAEL009598 AAEL003857 AAEL014445 AAEL014755 AAEL008669 AAEL015332 AAEL011144 AAEL004798 AAEL009219 AAEL013906 AAEL004279 AAEL004162 AAEL000229 AAEL002826 AAEL006933 AAEL010307 AAEL010726 AAEL010618 AAEL001474 AAEL011639 AAEL010706 AAEL008222 AAEL003000 AAEL008789 AAEL003389 AAEL011228 AAEL015458 AAEL010950 AAEL015515 AAEL005685 AAEL012650 AAEL001064 AAEL017023 AAEL005444 AAEL010304 AAEL006159 AAEL002150 AAEL008380 AAEL007440 AAEL011011 AAEL001096 AAEL000627 AAEL003841 AAEL007941 AAEL017538 AAEL006953 AAEL000621 AAEL018184 AAEL006424 AAEL000625
GO:0000172	ribonuclease MRP complex	AAEL000215
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	AAEL010640
GO:0004642	phosphoribosylformylglycinamidine synthase activity	AAEL005384
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	AAEL012825
GO:0004644	phosphoribosylglycinamide formyltransferase activity	AAEL010640
GO:0004645	phosphorylase activity	AAEL000703
GO:0004647	phosphoserine phosphatase activity	AAEL001100
GO:0004888	transmembrane signaling receptor activity	AAEL006778 AAEL018033 AAEL006232 AAEL009983 AAEL013886 AAEL006669 AAEL006957 AAEL010981
GO:0004889	acetylcholine-activated cation-selective channel activity	AAEL004032 AAEL012106 AAEL008055 AAEL018308 AAEL801211 AAEL007664 AAEL004008 AAEL018352 AAEL006535 AAEL004006 AAEL010570 AAEL004061
GO:1902582	single-organism intracellular transport	AAEL006145
GO:1902580	single-organism cellular localization	AAEL004812
GO:0004887	thyroid hormone receptor activity	AAEL000327 AAEL007397 AAEL015043 AAEL009588
GO:0004884	ecdysteroid hormone receptor activity	AAEL009600
GO:0008479	queuine tRNA-ribosyltransferase activity	AAEL015117 AAEL010968 AAEL010993 AAEL017061
GO:0099643	signal release from synapse	AAEL012541 AAEL004549 AAEL013529
GO:0018904	ether metabolic process	AAEL009708 AAEL009351 AAEL010777 AAEL008291
GO:0033176	proton-transporting V-type ATPase complex	AAEL012819 AAEL013302 AAEL007184
GO:0006820	anion transport	AAEL007019
GO:0006821	chloride transport	AAEL005950
GO:0008378	galactosyltransferase activity	AAEL001088 AAEL013827 AAEL001152 AAEL006234 AAEL000383
GO:0001883	purine nucleoside binding	AAEL001772 AAEL013458 AAEL009785 AAEL013329 AAEL009466 AAEL004200 AAEL009465 AAEL004204 AAEL009460 AAEL004686 AAEL015177 AAEL013755 AAEL013690 AAEL008787 AAEL005359 AAEL013825 AAEL008390 AAEL014106 AAEL009334 AAEL012584 AAEL009339 AAEL002172 AAEL011123 AAEL011653 AAEL004297 AAEL013359 AAEL014702 AAEL012612 AAEL002317 AAEL012409 AAEL003383 AAEL006730 AAEL011344 AAEL000378 AAEL004859 AAEL013529 AAEL000773 AAEL013521 AAEL003254 AAEL007040 AAEL007123 AAEL001101 AAEL008648 AAEL012922 AAEL000489 AAEL006938 AAEL001673 AAEL015290 AAEL006937 AAEL000486 AAEL002779 AAEL006182 AAEL006841 AAEL008728 AAEL017365 AAEL801247 AAEL801243 AAEL010063 AAEL012329 AAEL012247 AAEL003950 AAEL002810 AAEL003953 AAEL011905 AAEL005003 AAEL004631 AAEL005026 AAEL005438 AAEL017315 AAEL011596 AAEL013142 AAEL004797 AAEL006868 AAEL004607 AAEL016999 AAEL006449 AAEL801143 AAEL801142 AAEL006440 AAEL015389 AAEL014709 AAEL006110 AAEL005728 AAEL008413 AAEL015146 AAEL013814 AAEL005597 AAEL008823 AAEL004704 AAEL013136 AAEL013135 AAEL007908 AAEL004700 AAEL004701 AAEL013034 AAEL001731 AAEL004331 AAEL008398 AAEL004241 AAEL007642 AAEL004563 AAEL014639 AAEL008629 AAEL017188 AAEL017186 AAEL014634 AAEL007153 AAEL014154 AAEL006160 AAEL013390 AAEL006167 AAEL011289 AAEL013394 AAEL000836 AAEL004419 AAEL005943 AAEL008954 AAEL011046 AAEL008890 AAEL013966 AAEL017263 AAEL001543 AAEL011518 AAEL010644 AAEL011307 AAEL006946 AAEL009991 AAEL010640 AAEL001648 AAEL000307 AAEL011265 AAEL000301 AAEL011308 AAEL015644 AAEL013401 AAEL015309 AAEL015592 AAEL009438 AAEL008123 AAEL005383 AAEL014256 AAEL010241 AAEL010360 AAEL012962 AAEL014134 AAEL011554 AAEL011655 AAEL001887 AAEL001549 AAEL010413 AAEL003913 AAEL004501 AAEL003918 AAEL014524 AAEL010804 AAEL005043 AAEL010803 AAEL004968 AAEL012364 AAEL005165 AAEL005045 AAEL007284 AAEL011780 AAEL010296 AAEL009721 AAEL018118 AAEL008635 AAEL008637 AAEL008631 AAEL008632 AAEL012449 AAEL010568 AAEL002748 AAEL017566 AAEL010563 AAEL012915 AAEL004345 AAEL007931 AAEL018120 AAEL010732 AAEL007544 AAEL000885 AAEL000884 AAEL013998 AAEL005494 AAEL005688 AAEL011837 AAEL011145 AAEL006794 AAEL009154 AAEL004743 AAEL005448 AAEL005446 AAEL009652 AAEL004666 AAEL008634 AAEL010787 AAEL010021 AAEL014856 AAEL007949 AAEL013205 AAEL004110 AAEL004445 AAEL008311 AAEL004448 AAEL007688 AAEL007689 AAEL000081 AAEL017556 AAEL006539 AAEL002226 AAEL010977 AAEL010694 AAEL015352 AAEL005905 AAEL006080 AAEL015216 AAEL006085 AAEL004592 AAEL008855 AAEL013841 AAEL014722 AAEL013848 AAEL012395 AAEL007835 AAEL000262 AAEL005888 AAEL010359 AAEL015601 AAEL001769 AAEL004235 AAEL011187 AAEL007617 AAEL005499 AAEL013729 AAEL009320 AAEL006331 AAEL006330 AAEL014172 AAEL009082 AAEL005831 AAEL011136 AAEL006571 AAEL001848 AAEL012746 AAEL011649 AAEL000583 AAEL002714 AAEL012553 AAEL000589 AAEL010923 AAEL006622 AAEL002404 AAEL005532 AAEL015523 AAEL008672 AAEL000743 AAEL009880 AAEL009881 AAEL008078 AAEL009883 AAEL018004 AAEL001986 AAEL002395 AAEL008178 AAEL007113 AAEL000343 AAEL000346 AAEL004727 AAEL014825 AAEL014414 AAEL008715 AAEL005010 AAEL010585 AAEL015411 AAEL012316 AAEL000512 AAEL012310 AAEL011857 AAEL010997 AAEL004932 AAEL018148 AAEL018241 AAEL018145 AAEL018144 AAEL001938 AAEL001939 AAEL014958 AAEL002488 AAEL002895 AAEL002892 AAEL012991 AAEL016987 AAEL008057 AAEL017106 AAEL017456 AAEL007477 AAEL004716 AAEL002938 AAEL006577 AAEL014642 AAEL008565 AAEL006474 AAEL011197 AAEL010069 AAEL002647 AAEL005656 AAEL004494 AAEL001622 AAEL018321 AAEL012698 AAEL007876 AAEL001216 AAEL018244 AAEL017209 AAEL013372 AAEL011578 AAEL004477 AAEL004474 AAEL007650 AAEL007899 AAEL008320 AAEL009227 AAEL009364 AAEL009360 AAEL008379 AAEL001052 AAEL011750 AAEL013797 AAEL011395 AAEL001504 AAEL008960 AAEL012702 AAEL012701 AAEL000822 AAEL004152 AAEL011703 AAEL001655 AAEL014084 AAEL001657 AAEL015636 AAEL011708 AAEL002594 AAEL001794 AAEL011318 AAEL001410 AAEL013854 AAEL009402 AAEL008138 AAEL007150 AAEL008134 AAEL008131 AAEL002781 AAEL008035 AAEL007256 AAEL009960 AAEL010317 AAEL012999 AAEL006307 AAEL000959 AAEL002827 AAEL012175 AAEL007434 AAEL002508 AAEL000388 AAEL008585 AAEL012359 AAEL014512 AAEL002270 AAEL010816 AAEL009984 AAEL005050 AAEL011817 AAEL011811 AAEL012192 AAEL010958 AAEL008622 AAEL008621 AAEL009490 AAEL008627 AAEL008625 AAEL008624 AAEL008143 AAEL008140 AAEL008628 AAEL001976 AAEL009913 AAEL003370 AAEL009917 AAEL003968 AAEL011879 AAEL003400 AAEL013057 AAEL003013 AAEL014114 AAEL003155 AAEL006435 AAEL003152 AAEL801220 AAEL001370 AAEL002877 AAEL005754 AAEL004117 AAEL005455 AAEL005454 AAEL004616 AAEL004613 AAEL010619 AAEL017338 AAEL002471 AAEL014900 AAEL010033 AAEL014904 AAEL017568 AAEL005802 AAEL003703 AAEL017561 AAEL012988 AAEL007443 AAEL001200 AAEL001206 AAEL008849 AAEL008925 AAEL013939 AAEL005937 AAEL018254 AAEL018251 AAEL004050 AAEL004051 AAEL013834 AAEL013833 AAEL004351 AAEL013237 AAEL000217 AAEL004549 AAEL004227 AAEL002083 AAEL002323 AAEL011584 AAEL005330 AAEL005238 AAEL000187 AAEL007662 AAEL018123 AAEL005249 AAEL009254 AAEL007742 AAEL006347 AAEL009099 AAEL006221 AAEL006223 AAEL015060 AAEL012637 AAEL000179 AAEL000673 AAEL005801 AAEL012631 AAEL001108 AAEL011534 AAEL012882 AAEL000850 AAEL013235 AAEL007695 AAEL012731 AAEL012549 AAEL006963 AAEL002727 AAEL011441 AAEL002230 AAEL000596 AAEL011360 AAEL012015 AAEL012700 AAEL009691 AAEL012011 AAEL012546 AAEL008655 AAEL000324 AAEL000693 AAEL000758 AAEL003245 AAEL001719 AAEL003336 AAEL014017 AAEL001582 AAEL010341 AAEL009387 AAEL001618 AAEL012943 AAEL012827 AAEL011746 AAEL011744 AAEL001616 AAEL012125 AAEL012269 AAEL001017 AAEL006048 AAEL003939 AAEL003529 AAEL003937 AAEL001407 AAEL014329 AAEL006042 AAEL018042 AAEL015010 AAEL009185 AAEL012306 AAEL006763 AAEL012062 AAEL009623 AAEL005798 AAEL001038 AAEL018035 AAEL008556 AAEL004942 AAEL011704 AAEL001220 AAEL008610 AAEL010047 AAEL018130 AAEL010466 AAEL002885 AAEL010502 AAEL001928 AAEL011709 AAEL013161 AAEL014729 AAEL014494 AAEL014723 AAEL003061 AAEL001246 AAEL007463 AAEL003595 AAEL018290 AAEL001324 AAEL008471 AAEL002913 AAEL015125 AAEL008777 AAEL004761 AAEL009357 AAEL018040 AAEL000629 AAEL003449 AAEL010548 AAEL010762 AAEL004319 AAEL012170 AAEL009521 AAEL005605 AAEL007702 AAEL008500 AAEL013985 AAEL008507 AAEL000810 AAEL007558 AAEL005961 AAEL008509 AAEL006140 AAEL005964 AAEL018267 AAEL004165 AAEL008709 AAEL018343 AAEL013862 AAEL018344 AAEL013132 AAEL012505 AAEL011712 AAEL011714 AAEL005561 AAEL002565 AAEL002569 AAEL004217 AAEL007638 AAEL002118 AAEL003770 AAEL007632 AAEL013469 AAEL017001 AAEL007637 AAEL014055 AAEL007225 AAEL008388 AAEL005038 AAEL008384 AAEL007907 AAEL008386 AAEL008387 AAEL007384 AAEL002160 AAEL001711 AAEL011863 AAEL012339 AAEL011669 AAEL001715 AAEL002341 AAEL002048 AAEL001869 AAEL018059 AAEL014506 AAEL010288 AAEL003393 AAEL015190 AAEL006728 AAEL010942 AAEL011436 AAEL006640 AAEL012189 AAEL003969 AAEL004981 AAEL000404 AAEL004988 AAEL000767 AAEL004864 AAEL002868 AAEL007036 AAEL007035 AAEL007132 AAEL007130 AAEL015067 AAEL014428 AAEL002766 AAEL009908 AAEL001141 AAEL001140 AAEL005191 AAEL010059 AAEL006587 AAEL018057 AAEL006582 AAEL001559 AAEL006895 AAEL801237 AAEL017349 AAEL018190 AAEL017493 AAEL002867 AAEL008738 AAEL001044 AAEL005030 AAEL005744 AAEL014844 AAEL005037 AAEL008732 AAEL005424 AAEL005425 AAEL004911 AAEL009770 AAEL017300 AAEL018160 AAEL018162 AAEL002468 AAEL001440 AAEL002061 AAEL014878 AAEL007297 AAEL017572 AAEL007293 AAEL017576 AAEL013633 AAEL017470 AAEL004039 AAEL003731 AAEL001218 AAEL000999 AAEL017086 AAEL017084 AAEL015375 AAEL008542 AAEL004107 AAEL003896 AAEL017409 AAEL005733 AAEL005929 AAEL006769 AAEL016974 AAEL013824 AAEL013826 AAEL013823 AAEL004327 AAEL003022 AAEL006717 AAEL004253 AAEL009451 AAEL008189 AAEL012659 AAEL013701 AAEL011594 AAEL012355 AAEL004978 AAEL014099 AAEL009302 AAEL006712 AAEL000199 AAEL014155 AAEL009305 AAEL006308 AAEL010499 AAEL011118 AAEL009067 AAEL000924 AAEL011114 AAEL008499 AAEL011055 AAEL013950 AAEL001915 AAEL012723 AAEL005497 AAEL005495 AAEL010904 AAEL010835 AAEL011376 AAEL005491 AAEL005559 AAEL011273 AAEL011378 AAEL005552 AAEL001139 AAEL011274 AAEL005399 AAEL018039 AAEL009424 AAEL017978 AAEL017976 AAEL013559 AAEL000728 AAEL007176 AAEL003323 AAEL007359 AAEL007274 AAEL010374 AAEL012095 AAEL012094 AAEL002640 AAEL012152 AAEL010379 AAEL010402 AAEL001411 AAEL002987 AAEL003928 AAEL002351 AAEL008484 AAEL003518 AAEL014530 AAEL015000 AAEL012374 AAEL011970 AAEL004412 AAEL000434 AAEL010086 AAEL007007 AAEL010080 AAEL003606 AAEL001951 AAEL003359 AAEL012386 AAEL009285 AAEL006808 AAEL007826 AAEL004375 AAEL007822 AAEL006806 AAEL003583 AAEL801200 AAEL006415 AAEL000895 AAEL005679 AAEL001317 AAEL003994 AAEL008463 AAEL018696 AAEL015373 AAEL009337 AAEL006788 AAEL013002 AAEL000321 AAEL014849 AAEL007958 AAEL001093 AAEL010798 AAEL014845 AAEL003103 AAEL014843 AAEL017355 AAEL013214 AAEL013215 AAEL013676 AAEL012752 AAEL004812 AAEL004456 AAEL017546 AAEL015646 AAEL013173 AAEL008306 AAEL013182 AAEL008301 AAEL008302 AAEL009026 AAEL013567 AAEL013189 AAEL005918 AAEL008902 AAEL005858 AAEL014699 AAEL013400 AAEL013858 AAEL013859 AAEL004078 AAEL008837 AAEL004076 AAEL013679 AAEL012450 AAEL017532
GO:0006825	copper ion transport	AAEL017081
GO:0008374	O-acyltransferase activity	AAEL012743 AAEL009596 AAEL007080 AAEL013170
GO:0008375	acetylglucosaminyltransferase activity	AAEL000483 AAEL002329 AAEL018023 AAEL007409
GO:0008376	acetylgalactosaminyltransferase activity	AAEL010569 AAEL013572 AAEL006466
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	AAEL002841 AAEL008006 AAEL002842 AAEL010146 AAEL015524
GO:0008373	sialyltransferase activity	AAEL005671 AAEL014772
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	AAEL002827 AAEL008848 AAEL002504 AAEL003393 AAEL012175
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	AAEL018668 AAEL012740 AAEL006256
GO:0019509	L-methionine biosynthetic process from methylthioadenosine	AAEL004860 AAEL011830 AAEL012172 AAEL000109 AAEL012179 AAEL013828
GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly	AAEL000262
GO:0010608	posttranscriptional regulation of gene expression	AAEL007329 AAEL006187
GO:0070647	protein modification by small protein conjugation or removal	AAEL002306 AAEL010911 AAEL005424 AAEL004875 AAEL009509 AAEL000276 AAEL008758 AAEL015485 AAEL007797 AAEL002844
GO:0043891	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity	AAEL016984
GO:0022404	molting cycle process	AAEL006722 AAEL014409 AAEL011229 AAEL015552 AAEL011228
GO:0015238	drug transmembrane transporter activity	AAEL010462
GO:0003989	acetyl-CoA carboxylase activity	AAEL006307
GO:0003987	acetate-CoA ligase activity	AAEL015010 AAEL000321
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	AAEL009490
GO:0004089	carbonate dehydratase activity	AAEL009323 AAEL009330 AAEL010893 AAEL000816 AAEL004930
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	AAEL005617
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity	AAEL000444
GO:0019725	cellular homeostasis	AAEL014813 AAEL010065 AAEL006553 AAEL008319 AAEL009995 AAEL009351 AAEL009708 AAEL013980 AAEL007253 AAEL008291 AAEL002016 AAEL008783 AAEL002502 AAEL002501 AAEL003206 AAEL006928 AAEL002886 AAEL018202 AAEL010777 AAEL000574 AAEL013845 AAEL001109 AAEL003807 AAEL001432 AAEL010839 AAEL017390 AAEL012054 AAEL010486 AAEL008776 AAEL001824 AAEL007247 AAEL009158 AAEL011158 AAEL011995 AAEL000641
GO:0032934	sterol binding	AAEL000798
GO:0032933	SREBP signaling pathway	AAEL000798
GO:0019720	Mo-molybdopterin cofactor metabolic process	AAEL015584 AAEL011727 AAEL015583 AAEL014381 AAEL004607 AAEL007643 AAEL011729 AAEL009179 AAEL000126 AAEL007640
GO:0019722	calcium-mediated signaling	AAEL015066
GO:0051129	negative regulation of cellular component organization	AAEL008758
GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity	AAEL012616
GO:0000502	proteasome complex	AAEL006315 AAEL004733 AAEL014325 AAEL004563 AAEL012095 AAEL012122 AAEL002906
GO:0015095	magnesium ion transmembrane transporter activity	AAEL001190
GO:0000915	actomyosin contractile ring assembly	AAEL002714
GO:0097525	spliceosomal snRNP complex	AAEL009145 AAEL013527 AAEL011687 AAEL010612
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	AAEL004014 AAEL010384 AAEL004036 AAEL010380 AAEL004015 AAEL005769 AAEL011806 AAEL011809 AAEL011808 AAEL012689 AAEL005927 AAEL005921 AAEL012808 AAEL006163 AAEL010382 AAEL004009 AAEL010370 AAEL010372 AAEL004003 AAEL004002 AAEL013046 AAEL004021 AAEL004025 AAEL009204 AAEL004027 AAEL010391 AAEL004028 AAEL012138 AAEL002683 AAEL009193 AAEL010405 AAEL009203 AAEL017311 AAEL006157 AAEL009207 AAEL014493 AAEL010367 AAEL007793 AAEL004013 AAEL007789 AAEL010630
GO:0016615	malate dehydrogenase activity	AAEL005790
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	AAEL009676 AAEL005336 AAEL017281 AAEL004529 AAEL005400 AAEL004532
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	AAEL011712 AAEL011709 AAEL002727 AAEL013847 AAEL013034 AAEL013849
GO:0019432	triglyceride biosynthetic process	AAEL001204
GO:0019343	cysteine biosynthetic process via cystathionine	AAEL008467 AAEL008468
GO:0019439	aromatic compound catabolic process	AAEL008879
GO:0019438	aromatic compound biosynthetic process	AAEL002703
GO:0019348	dolichol metabolic process	AAEL005125
GO:0043420	anthranilate metabolic process	AAEL008879
GO:1901576	organic substance biosynthetic process	AAEL000264
GO:0008408	3'-5' exonuclease activity	AAEL010007 AAEL011560 AAEL009650 AAEL005527 AAEL013455 AAEL014178 AAEL012676 AAEL009851 AAEL002800 AAEL008247 AAEL010595 AAEL000034 AAEL002475 AAEL012690
GO:0008409	5'-3' exonuclease activity	AAEL005870
GO:0030029	actin filament-based process	AAEL008269 AAEL002184 AAEL008154 AAEL012519 AAEL013920 AAEL003855 AAEL008852 AAEL018268 AAEL009371
GO:0031226	intrinsic component of plasma membrane	AAEL003878 AAEL014248 AAEL003524 AAEL016990 AAEL003920 AAEL017181
GO:0051503	adenine nucleotide transport	AAEL004594
GO:0007349	cellularization	AAEL000900
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	AAEL015541 AAEL009647 AAEL014339 AAEL006039
GO:0019239	deaminase activity	AAEL003722 AAEL005127 AAEL015233 AAEL003716 AAEL003214 AAEL009191 AAEL005676 AAEL015450 AAEL005672
GO:0019238	cyclohydrolase activity	AAEL012825
GO:0000989	transcription factor activity, transcription factor binding	AAEL004737
GO:0000988	transcription factor activity, protein binding	AAEL004737
GO:0000987	core promoter proximal region sequence-specific DNA binding	AAEL006419
GO:0010420	polyprenyldihydroxybenzoate methyltransferase activity	AAEL008330 AAEL004804
GO:0050113	inositol oxygenase activity	AAEL008701
GO:0016768	spermine synthase activity	AAEL001378
GO:0071595	Nem1-Spo7 phosphatase complex	AAEL006551
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	AAEL000414 AAEL017521 AAEL000894
GO:0071174	mitotic spindle checkpoint	AAEL011596 AAEL014423 AAEL008316 AAEL018276
GO:0042384	cilium assembly	AAEL009976 AAEL003320 AAEL010873 AAEL006128 AAEL011864 AAEL012063
GO:0016149	translation release factor activity, codon specific	AAEL013058 AAEL011742 AAEL012811
GO:0009397	folic acid-containing compound catabolic process	AAEL010764
GO:0042147	retrograde transport, endosome to Golgi	AAEL013386 AAEL001497 AAEL011134
GO:0047429	nucleoside-triphosphate diphosphatase activity	AAEL008605
GO:0005845	mRNA cap binding complex	AAEL011959
GO:0043550	regulation of lipid kinase activity	AAEL011389
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	AAEL000118
GO:0005846	nuclear cap binding complex	AAEL006135 AAEL009839
GO:0005840	ribosome	AAEL003396 AAEL010821 AAEL014189 AAEL009830 AAEL003397 AAEL008447 AAEL002783 AAEL014583 AAEL005027 AAEL005451 AAEL010335 AAEL012585 AAEL000010 AAEL004069 AAEL014903 AAEL010756 AAEL003142 AAEL002418 AAEL004433 AAEL010830 AAEL010299 AAEL003704 AAEL003801 AAEL006511 AAEL013680 AAEL005629 AAEL012921 AAEL013116 AAEL001849 AAEL005085 AAEL003427 AAEL004034 AAEL013583 AAEL000068 AAEL007355 AAEL003530 AAEL011587 AAEL005162 AAEL000467 AAEL014562 AAEL013536 AAEL014292 AAEL009608 AAEL001909 AAEL007699 AAEL012736 AAEL004325 AAEL001453 AAEL012733 AAEL011447 AAEL008188 AAEL003942 AAEL006698 AAEL006117 AAEL015668 AAEL005150 AAEL801149 AAEL007771 AAEL008103 AAEL009613 AAEL001488 AAEL004830 AAEL000987 AAEL002002 AAEL011219 AAEL001615 AAEL013221 AAEL017516 AAEL008353 AAEL002832 AAEL002639 AAEL012264 AAEL013097 AAEL000529 AAEL005413 AAEL009747 AAEL005129 AAEL004822 AAEL008481 AAEL005944 AAEL004306 AAEL013964 AAEL005097 AAEL013272 AAEL009431 AAEL017198 AAEL005266 AAEL007715 AAEL015006 AAEL008329 AAEL008044 AAEL008601 AAEL007168 AAEL003352 AAEL014838 AAEL000823 AAEL002534 AAEL004151 AAEL014836 AAEL006860 AAEL007824 AAEL005220 AAEL002368 AAEL004503 AAEL000701 AAEL001280 AAEL009994 AAEL003582 AAEL006785 AAEL012944 AAEL006141 AAEL000032 AAEL002372 AAEL002047 AAEL011814 AAEL006395 AAEL009341 AAEL009496 AAEL009151 AAEL009653 AAEL011391 AAEL011390 AAEL010550 AAEL017046 AAEL004175 AAEL006887
